Batch_Number,SKU_ID,NDC_Code,Drug_Name,Therapeutic_Category,Route_Of_Administration,Dosage_Form,Packaging_Type,Supplier_ID,Supplier_Name,Country_Of_Origin,Purchase_Order_Ref,Quantity_Procured,Unit_Procurement_Cost_USD,Freight_Cost_Per_Unit_USD,Import_Tariff_Rate,Total_Procurement_Cost_USD,Unit_Selling_Price_USD,Maximum_Retail_Price_USD,Discount_Applied_Percent,Quantity_Sold,Total_Sales_Revenue_USD,Gross_Profit_USD,Sales_Channel,Payment_Method,Quantity_Remaining,Reorder_Level,Safety_Stock_Level,Stockout_Occurred,Manufacture_Date,Procurement_Date,Expiry_Date,Shelf_Life_Total_Days,Storage_Condition,Storage_Temperature_Min_C,Storage_Temperature_Max_C,Humidity_Sensitive,Prescription_Required,Controlled_Substance_Class,Quality_Control_Passed,Inspector_ID,Warehouse_Zone,Aisle_Rack_Number,Bin_Location_Code,Handling_Special_Notes,Quantity_Wasted,Wastage_Reason,Wastage_Financial_Loss_USD,Disposal_Method,Disposal_Approval_Status
BAT-2026-49651,SKU-147726,235-9837-56,Ibuprofen 400mg,Analgesic,Oral,Tablet,Strip,SUP-9028,PharmaDist Inc,India,PO-98712,1226,89.37,2.86,0.12,126222.09,149.75,164.73,0,964,144359.0,58206.32,Emergency ICU,Cash,262,50,20,0,2025-02-12,2025-03-21,2026-08-18,552,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-104,Cold Vault-1,Aisle-6-R1,BIN-674,Protect from Light,262,Expired,23414.94,Incineration,Approved
BAT-2026-90173,SKU-157174,643-9221-44,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-0769,BioCare Distribution,Germany,PO-78977,1559,2.13,0.05,0.0,3398.62,3.45,3.8,0,1368,4719.6,1805.76,Emergency ICU,Credit Card,191,100,20,0,2025-06-10,2025-09-15,2026-01-28,232,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-108,Cold Vault-1,Aisle-16-R2,BIN-711,Keep Refrigerated,191,Expired,406.83,Incineration,Approved
BAT-2026-95717,SKU-680238,950-3695-42,Amoxicillin 500mg,Antibiotic,Oral,Capsule,Blister Pack,SUP-0769,BioCare Distribution,India,PO-62789,960,191.69,5.8,0.0,189590.4,294.84,324.32,20,475,140049.0,48996.25,Hospital Outpatient,Cash,485,50,80,0,2025-06-11,2025-08-27,2026-03-31,293,Room Temperature (15-25°C),15.0,25.0,1,1,Schedule II,1,INS-102,Hazmat Vault,Aisle-20-R2,BIN-392,Standard Handling,485,Expired,92969.65,Incineration,Approved
BAT-2026-79329,SKU-406327,944-8894-47,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-8569,Apex Health Supplies,India,PO-87101,1394,42.06,1.58,0.05,63765.74,60.88,66.97,0,1252,76221.76,23562.64,In-Store Pharmacy,Credit Card,142,50,20,0,2025-05-14,2025-06-11,2026-12-07,572,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-108,Cold Vault-1,Aisle-20-R3,BIN-914,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-11025,SKU-831295,864-6549-24,Atorvastatin 20mg,Cardiovascular,Oral,Tablet,Strip,SUP-8569,Apex Health Supplies,UK,PO-83265,1230,138.34,3.45,0.18,205030.18,185.48,204.03,20,744,137997.12,35072.16,In-Store Pharmacy,Insurance,486,100,40,0,2025-02-25,2025-03-30,2026-09-02,554,Room Temperature (15-25°C),15.0,25.0,1,1,Schedule II,1,INS-102,Hazmat Vault,Aisle-15-R5,BIN-783,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-97538,SKU-232413,579-2233-28,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-5813,Nexus BioPharma,Switzerland,PO-78019,1195,28.12,1.99,0.05,37661.62,43.46,47.81,5,688,29900.48,10553.92,Hospital Outpatient,Insurance,507,200,40,0,2024-12-15,2025-03-09,2026-10-02,656,Room Temperature (15-25°C),15.0,25.0,0,1,Schedule IV,1,INS-108,Hazmat Vault,Aisle-13-R4,BIN-977,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-82692,SKU-768854,872-4696-96,Metformin 800mg,Antidiabetic,Oral,Tablet,Bottle,SUP-7152,GlobalMed Logistics,USA,PO-61744,1824,130.7,5.03,0.18,290482.94,210.66,231.73,20,1393,293449.38,111384.28,Emergency ICU,Credit Card,431,200,20,0,2025-03-06,2025-06-27,2025-10-13,221,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,1,INS-104,Zone-A,Aisle-4-R5,BIN-354,Standard Handling,431,Expired,56331.7,Incineration,Approved
BAT-2026-49240,SKU-889359,841-7511-81,Insulin Glargine 100IU/ml,Antidiabetic,Injectable,Vial,Carton Box,SUP-5813,Nexus BioPharma,USA,PO-44562,1144,33.48,1.47,0.0,39982.8,46.16,50.78,5,1041,48052.56,13199.88,Hospital Outpatient,Cash,103,50,40,0,2025-04-09,2025-06-18,2026-10-15,554,Cold Chain (2-8°C),2.0,8.0,0,1,Non-Controlled,1,INS-102,Cold Vault-1,Aisle-3-R3,BIN-179,Fragile Glass,0,None,0.0,N/A,N/A
BAT-2026-96951,SKU-614723,474-2479-60,Lisinopril 10mg,Cardiovascular,Oral,Tablet,Bottle,SUP-9028,PharmaDist Inc,Switzerland,PO-86585,1738,186.68,9.21,0.12,379390.8,236.17,259.79,20,1198,282931.66,59289.02,In-Store Pharmacy,Cash,540,50,40,0,2025-08-09,2025-09-20,2027-02-15,555,Room Temperature (15-25°C),15.0,25.0,0,1,Non-Controlled,0,INS-109,Hazmat Vault,Aisle-8-R3,BIN-731,Keep Refrigerated,0,None,0.0,N/A,N/A
BAT-2026-23577,SKU-207570,114-5332-78,Paracetamol 650mg,Analgesic,Oral,Tablet,Strip,SUP-5813,Nexus BioPharma,USA,PO-75382,221,56.26,3.36,0.05,13797.69,85.5,94.05,10,142,12141.0,4152.08,Online Fulfillment,Insurance,79,50,20,0,2025-07-12,2025-10-13,2026-07-06,359,Room Temperature (15-25°C),15.0,25.0,1,1,Non-Controlled,1,INS-110,Zone-B,Aisle-5-R2,BIN-209,Protect from Light,79,Expired,4444.54,Incineration,Approved
